,Token,Frequency_2016,Frequency_2018,StandardDeviation,Mean,MeanMinusStdev
351,Appoints,0.0,0.0008098143462886863,0.00040490717314434313,0.00040490717314434313,0.0
416,St,0.0,0.00047281086056606523,0.00023640543028303262,0.00023640543028303262,0.0
350,Dividend,0.0,0.0008450236656925422,0.0004225118328462711,0.0004225118328462711,0.0
417,REFILE,0.0,0.00047281086056606523,0.00023640543028303262,0.00023640543028303262,0.0
410,Common,0.0,0.0004879005688820035,0.00024395028444100175,0.00024395028444100175,0.0
409,Consol,0.0,0.0004879005688820035,0.00024395028444100175,0.00024395028444100175,0.0
357,Qtrly,0.0,0.0007393957074809744,0.0003696978537404872,0.0003696978537404872,0.0
358,EPS,0.0,0.0007192760963930568,0.0003596380481965284,0.0003596380481965284,0.0
359,January,0.0,0.0007041863880771185,0.00035209319403855925,0.00035209319403855925,0.0
360,Sales,0.0,0.0006890966797611802,0.0003445483398805901,0.0003445483398805901,0.0
361,CORRECTED,0.0,0.000674006971445242,0.000337003485722621,0.000337003485722621,0.0
362,Its,0.0,0.000674006971445242,0.000337003485722621,0.000337003485722621,0.0
408,House,0.0,0.0004929304716539829,0.00024646523582699147,0.00024646523582699147,0.0
363,cash,0.0,0.000674006971445242,0.000337003485722621,0.000337003485722621,0.0
364,Global,0.0,0.0006639471659012832,0.0003319735829506416,0.0003319735829506416,0.0
365,Holding,0.0,0.0006538873603573243,0.00032694368017866215,0.00032694368017866215,0.0
366,6,0.0,0.000638797652041386,0.000319398826020693,0.000319398826020693,0.0
367,Saudi,0.0,0.0006337677492694066,0.0003168838746347033,0.0003168838746347033,0.0
368,Q1,0.0,0.0006337677492694066,0.0003168838746347033,0.0003168838746347033,0.0
407,drop,0.0,0.0004929304716539829,0.00024646523582699147,0.00024646523582699147,0.0
369,30,0.0,0.0006287378464974273,0.00031436892324871363,0.00031436892324871363,0.0
301,Of,0.0,0.009169512753318478,0.004584756376659239,0.004584756376659239,0.0
221,merger,0.0005694017722630162,0.0,0.0002847008861315081,0.0002847008861315081,0.0
299,protest,0.00045077640304155446,0.0,0.00022538820152077723,0.00022538820152077723,0.0
147,California,0.0007354772891730626,0.0,0.0003677386445865313,0.0003677386445865313,0.0
157,ECB,0.0007117522153287702,0.0,0.0003558761076643851,0.0003558761076643851,0.0
156,campaign,0.0007117522153287702,0.0,0.0003558761076643851,0.0003558761076643851,0.0
154,Fitch,0.0007117522153287702,0.0,0.0003558761076643851,0.0003558761076643851,0.0
151,economy,0.0007236147522509164,0.0,0.0003618073761254582,0.0003618073761254582,0.0
150,equity,0.0007236147522509164,0.0,0.0003618073761254582,0.0003618073761254582,0.0
148,launch,0.0007236147522509164,0.0,0.0003618073761254582,0.0003618073761254582,0.0
146,placement,0.0007354772891730626,0.0,0.0003677386445865313,0.0003677386445865313,0.0
159,Supreme,0.0006880271414844779,0.0,0.00034401357074223895,0.00034401357074223895,0.0
142,trial,0.0007473398260952087,0.0,0.00037366991304760435,0.00037366991304760435,0.0
140,killed,0.0007592023630173549,0.0,0.00037960118150867747,0.00037960118150867747,0.0
139,Yellen,0.0007592023630173549,0.0,0.00037960118150867747,0.00037960118150867747,0.0
137,bid,0.0007710648999395011,0.0,0.00038553244996975054,0.00038553244996975054,0.0
136,case,0.0007710648999395011,0.0,0.00038553244996975054,0.00038553244996975054,0.0
134,offering,0.0007829274368616472,0.0,0.0003914637184308236,0.0003914637184308236,0.0
158,t,0.000699889678406624,0.0,0.000349944839203312,0.000349944839203312,0.0
160,22,0.0006880271414844779,0.0,0.00034401357074223895,0.00034401357074223895,0.0
130,minister,0.0008066525107059396,0.0,0.0004033262553529698,0.0004033262553529698,0.0
174,reports,0.0006524395307180394,0.0,0.0003262197653590197,0.0003262197653590197,0.0
182,power,0.0006405769937958931,0.0,0.00032028849689794657,0.00032028849689794657,0.0
181,names,0.0006405769937958931,0.0,0.00032028849689794657,0.00032028849689794657,0.0
179,would,0.0006405769937958931,0.0,0.00032028849689794657,0.00032028849689794657,0.0
177,Chinese,0.0006405769937958931,0.0,0.00032028849689794657,0.00032028849689794657,0.0
176,div,0.0006524395307180394,0.0,0.0003262197653590197,0.0003262197653590197,0.0
